status,path,n_up,n_down,expected_Sz,n_particles,reason
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/20260331_171637_baseline_n2_sep4_old_s401,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/20260331_171904_baseline_n2_sep4_old_s402,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_125505_n2_single_smoke,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_125516_n2_single_smoke,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_125621_n2_single_gpu_smoke,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_125643_g6_n2_double_1_1_ctnn,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_130138_n2_single_gpu_smoke,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_130145_n4_double_smoke,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_132431_g2_n2_single_unified,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_132814_g7_n2_double_1_1_unified,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_133426_g1_n2_single_ctnn,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_134141_g0_n2_single_pinn,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_134224_g6_n2_double_1_1_ctnn,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_134412_g3_n4_double_2_2_pinn,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_134854_g5_n4_double_2_2_unified,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260329_140603_g4_n4_double_2_2_ctnn,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_090940_g7_n2_double_1_1_unified_rerun,,,,,spin_configuration absent or incomplete
